Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,Year,New Average Prices
12535,Let's Sing 2016,Music,T,PS4,Ravenscourt,Voxler,,0.1,2015.0,17.69
12550,Resident Evil 4,Action-Adventure,M,PS4,Capcom,Capcom,,0.1,2016.0,28.95
12601,Deracine,Adventure,T,PS4,Sony Interactive Entertainment,From Software,,0.1,2018.0,22.19
12701,Nights of Azure,Action,T,PS4,Tecmo Koei,Gust,,0.09,2016.0,36.0
12843,Dark Souls Trilogy,Role-Playing,M,PS4,Bandai Namco Entertainment,From Software,,0.09,2018.0,240.695
12918,Train Sim World,Simulation,,PS4,Maximum Games,Dovetail Games,,0.09,2018.0,49.17
12939,Dark Rose Valkyrie,Role-Playing,T,PS4,Idea Factory International,Compile Heart,,0.09,2017.0,19.41
12967,ATV Drift & Tricks,Racing,E,PS4,Maximum Games,Artefacts Studio,,0.09,2017.0,17.95
12982,Strange Brigade,Shooter,,PS4,Rebellion Developments,Rebellion Developments,,0.09,2018.0,21.945
13004,Nickelodeon Kart Racers,Racing,E,PS4,GameMill Entertainment,Solutions 2 Go,,0.09,2018.0,30.51
13016,Nights of Azure,Role-Playing,T,PS4,Tecmo Koei,Gust,,0.09,2016.0,36.0
13040,Lara Croft and the Temple of Osiris,Action,T,PS4,Square Enix,Crystal Dynamics,,0.09,2014.0,23.0
13204,Earth Defense Force 4.1: The Shadow of New Despair,Shooter,M,PS4,Xseed Games,Sandlot,,0.08,2015.0,18.27
13275,Legend of Kay Anniversary,Action,E10,PS4,Nordic Games,Neon Studios,,0.08,2015.0,14.26
13299,Hasbro Family Fun Pack Conquest Edition,Misc,,PS4,Ubisoft,Ubisoft,,0.08,2016.0,25.534999999999997
13318,Shining Resonance Refrain,Role-Playing,T,PS4,Sega,Media.Vision,,0.08,2018.0,36.19
